"","X","NMDS1","NMDS2","warming","date"
"1",1,0.266226037434011,0.0118438994146084,"control","September"
"2",2,-1.10950565753867,1.25170718736983,"control","June"
"3",3,-0.901334988143331,0.781366069323866,"warmed","June"
"4",4,-1.49513992458517,1.35238019029787,"control","June"
"5",5,-0.139625622064229,1.62168022587347,"warmed","June"
"6",6,-0.429570438098747,0.895554680553003,"control","June"
"7",7,0.377932672932856,0.0763536596124047,"warmed","September"
"8",8,0.686991661700938,0.250169356209473,"warmed","June"
"9",9,0.618001952327053,0.547770494108114,"control","June"
"10",10,0.729086503246081,0.91861950278831,"warmed","June"
"11",11,0.593806422838356,0.19815029776823,"control","June"
"12",12,0.39699247363018,0.2552899393023,"warmed","June"
"13",13,0.784594339937687,0.0463964774022578,"control","September"
"14",14,0.498758175051093,-0.142937693084597,"warmed","September"
"15",15,0.568209930277883,0.553570280377768,"control","September"
"16",16,-1.45082462755139,-0.896393566522605,"warmed","September"
"17",17,-1.3500871948296,-1.19137258045978,"control","September"
"18",18,-1.52597902870975,0.885967624502699,"warmed","September"
"19",19,-1.71574230748407,0.906280490449081,"control","September"
"20",20,-1.21310014277072,0.602674293500483,"warmed","September"
"21",21,-0.341672468764927,1.53650268232116,"control","September"
"22",22,-0.558739716895782,0.105571415418113,"warmed","September"
"23",23,-0.729727713999989,-1.06458387240066,"warmed","September"
"24",24,-1.24790593139568,-0.147363358781214,"control","September"
"25",25,-1.02300289500287,-1.03642910846783,"warmed","September"
"26",26,-0.517449006103443,-1.52036752662512,"control","September"
"27",27,-1.70957803961174,-0.73552567551488,"warmed","September"
"28",28,-1.59462122270901,-1.37895655291883,"control","September"
"29",29,-1.38018495301475,-1.03582781013642,"warmed","September"
"30",30,-1.39105432669425,-0.479616783442881,"control","September"
"31",31,-0.539798586415042,-0.906801452705177,"warmed","September"
"32",32,-1.5957562120527,-0.0606740062878007,"control","September"
"33",33,-0.708530297930996,1.78289594428532,"control","September"
"34",34,-0.899381250352229,0.316349558930181,"warmed","September"
"35",35,1.06867467240112,-0.26517044196088,"control","September"
"36",36,0.606705885754658,-0.0597585570604686,"warmed","September"
"37",37,0.254141738280159,-0.721560939439128,"control","September"
"38",38,0.722983176155799,-0.738840800919931,"warmed","September"
"39",39,0.96400660132733,-0.49574868092954,"control","June"
"40",40,1.21366330023082,-0.391764876773676,"warmed","June"
"41",41,0.79133029405055,-0.103645922385815,"control","June"
"42",42,0.533279749629303,0.839269194710902,"warmed","June"
"43",43,0.65308578443196,-0.224204339884465,"control","June"
"44",44,0.675571098968674,-0.43472588153256,"warmed","September"
"45",45,0.58968134831098,-0.428064342177595,"warmed","June"
"46",46,0.788740048567923,-0.24838038597566,"control","June"
"47",47,0.838164207821568,-0.387642814421354,"warmed","June"
"48",48,0.511674912461918,0.0832977890296035,"control","June"
"49",49,0.552960193940633,0.278690712097245,"warmed","June"
"50",50,0.97150488243487,0.476539442932787,"control","June"
"51",51,0.914027853968259,0.328956631609552,"warmed","June"
"52",52,0.513455081021071,-0.514489164589702,"control","June"
"53",53,0.697273409301665,-0.125372194500118,"warmed","June"
"54",54,0.909914606972348,0.00808122868524063,"control","June"
"55",55,1.06038603381041,0.306182286385815,"control","September"
"56",56,0.855840624269647,-0.270655277979639,"warmed","June"
"57",57,0.979792606889012,-0.106329926356416,"control","June"
"58",58,1.04288885704607,-0.381872660496212,"warmed","June"
"59",59,0.379436682133157,-0.437945352504876,"control","June"
"60",60,0.958528733163008,-0.285089008023851,"warmed","June"
