"","NMDS1","NMDS2","warming","date"
"1",-0.561288917048015,-0.708056418978868,"control","September"
"2",0.597572844431688,-0.529632869237302,"warmed","June"
"3",0.491837276194057,-0.259530754187382,"control","June"
"4",0.672071471710664,-0.361554838101297,"warmed","June"
"5",0.872214452479894,-0.36777093203847,"control","June"
"6",0.732813490300706,-0.416261142354472,"warmed","June"
"7",-0.225440440337431,-0.593658233954086,"control","June"
"8",-0.766337970639862,-0.929699228940411,"warmed","June"
"9",-0.753161302035731,-0.657592659184839,"control","June"
"10",-1.02145046522475,-0.797750872565269,"warmed","June"
"11",-0.93599518489659,-0.81364094317602,"control","June"
"12",-0.278371394916671,-0.282733387928754,"warmed","September"
"13",0.837011255450684,-0.344513421238946,"warmed","June"
"14",-1.13475891765596,-0.51083210515718,"control","September"
"15",-0.739709961510164,-0.75852094341471,"warmed","September"
"16",-0.852371174173177,-0.37215912493356,"control","September"
"17",-0.873948851296595,0.828893850269621,"control","September"
"18",-0.648094822192306,1.01537203025995,"warmed","September"
"19",-1.14128404440564,0.231677765345957,"control","September"
"20",-1.29549359790736,0.184098756175399,"warmed","September"
"21",-1.02959447687305,0.241453818801164,"control","September"
"22",-0.538314784940716,-0.480764957482875,"warmed","September"
"23",-1.05686832203355,-0.00109196266404722,"control","September"
"24",-0.954559176764993,0.00270458418216004,"warmed","September"
"25",-0.331729884472427,1.1655160119178,"control","September"
"26",-0.478513248952498,1.13334886115442,"warmed","September"
"27",-0.991765050462976,0.350945666445958,"control","September"
"28",-1.20662110948798,0.202811920240121,"warmed","September"
"29",-0.890203747492844,0.184075951958527,"warmed","September"
"30",-1.12848843230241,0.194123138635792,"control","September"
"31",-0.420695394665502,0.819495669744042,"warmed","September"
"32",-0.672148877949591,1.20980845963337,"control","September"
"33",-0.861268483989313,0.101928351690097,"warmed","September"
"34",-0.442416970053077,-0.567803184940687,"control","September"
"35",0.763626364445941,0.68068702327363,"warmed","September"
"36",0.626483618808585,0.356393765657017,"control","September"
"37",0.836640960612702,0.373280242535482,"warmed","September"
"38",0.886000365503459,0.271286010612628,"control","September"
"39",1.07082461038615,0.249827687867586,"control","September"
"40",0.874994149113886,0.118744432347233,"warmed","September"
"41",0.373586332470276,0.0121553766273856,"control","June"
"42",0.24328300754811,0.0706444024449897,"warmed","June"
"43",0.523912823804635,-0.0793214842697225,"control","June"
"44",0.263286899798373,-0.0807823626133712,"warmed","June"
"45",0.856869070320495,0.0420058289819201,"control","June"
"46",0.427286057732417,-0.146235515911636,"warmed","June"
"47",0.907666028269468,-0.00389245210231282,"control","June"
"48",1.16614877643673,-0.028943851899374,"warmed","June"
"49",0.607807212632336,-0.0358194905311649,"control","June"
"50",0.889743733008534,-0.139125155340607,"warmed","September"
"51",0.686940382040655,-0.207516596526214,"warmed","June"
"52",0.611091036280339,-0.430511303172016,"control","June"
"53",0.370442658985474,0.289955435739031,"warmed","June"
"54",0.955222101365527,0.152510602046651,"control","June"
"55",0.539302155150418,0.176972132273289,"warmed","June"
"56",0.596523516249301,0.2732483490353,"control","June"
"57",0.951376191689906,-0.00059592958393187,"warmed","June"
"58",0.679155256941087,0.109062301041677,"control","June"
"59",0.815468320846875,-0.00729341413666936,"warmed","June"
"60",0.503692583671798,-0.129422890371997,"control","June"
